"temperature","humidity","wind_speed","pressure","precipitation","hour","month","dayofweek","pm25_lag_1","pm25_lag_3","pm25_lag_6","pm25_lag_24","pm25_lag_168","pm25_roll_mean_24","pm25_roll_max_24","pm25_roll_min_24","pm25_roll_mean_168","pm25_volatility_24","pm25_diff_1","pm25_diff_24","precipitation_log","is_rain","hour_sin","hour_cos","month_sin","month_cos","dow_sin","dow_cos","temp_humidity","temp_diff_1","humidity_diff_1"
"-0.058823529411764525","0.29411764705882354","0.4117647058823529","-0.34482758620689924","0.0","23","7","1","34.9","38.1","23.0","31.4","26.5","25.80416666666667","38.4","12.2","28.299096880131362","7.777195155887093","0.29999999999999716","-0.3999999999999986","0.0","0","-0.25881904510252157","0.9659258262890681","-0.4999999999999997","-0.8660254037844388","0.7818314824680298","0.6234898018587336","2436.6","0.10000000000000142","-1.0"
"-0.20588235294117635","0.47058823529411764","-0.4901960784313726","-0.31034482758620147","0.0","0","7","2","35.4","34.6","33.6","31.7","13.4","25.970833333333335","38.4","12.2","28.352073070607553","7.943412866710035","0.5","4.0","0.0","0","0.0","1.0","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2467.2","-0.10000000000000142","0.0"
"-0.17647058823529357","0.47058823529411764","0.803921568627451","-0.44827586206899256","0.5","1","7","2","33.9","34.9","38.4","28.8","31.4","26.0625","38.4","12.2","28.474096880131366","8.024680001746788","-1.5","2.1999999999999993","0.5227586988632226","1","0.25881904510252074","0.9659258262890683","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2476.8","-0.5","3.0"
"-0.4117647058823527","0.4117647058823529","0.6862745098039216","-0.6206896551724422","1.0","2","7","2","29.8","35.4","38.1","27.9","24.8","26.104166666666668","38.4","12.2","28.464573070607553","8.042089235724903","-4.099999999999998","1.0","1.0","1","0.49999999999999994","0.8660254037844387","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2375.0","0.10000000000000142","0.0"
"-0.5294117647058817","0.47058823529411764","0.5098039215686274","-0.8275862068965504","0.5","3","7","2","37.2","33.9","34.6","25.6","26.1","26.491666666666664","38.4","12.2","28.538382594417076","8.350522850939216","7.400000000000002","9.300000000000004","0.5227586988632226","1","0.7071067811865476","0.7071067811865476","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2361.6000000000004","-0.8000000000000007","-1.0"
"-0.5882352941176473","0.5294117647058824","0.29411764705882354","-0.758620689655194","0.5","4","7","2","31.8","29.8","34.9","20.8","13.6","26.75","38.4","12.2","28.57231116584565","8.417373338105154","-5.400000000000002","6.199999999999999","0.5227586988632226","1","0.8660254037844386","0.5000000000000001","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2366.7999999999997","-0.3999999999999986","1.0"
"-0.5882352941176473","0.5882352941176471","-0.2549019607843137","-0.6896551724137985","0.0","5","7","2","22.9","37.2","35.4","31.9","24.5","26.837500000000002","38.4","12.2","28.62766830870279","8.363575920257619","-8.900000000000002","2.099999999999998","0.0","0","0.9659258262890683","0.25881904510252074","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2391.2","-0.20000000000000284","1.0"
"-0.5588235294117645","0.5294117647058824","-0.6470588235294118","-0.5517241379310467","0.0","6","7","2","13.0","31.8","33.9","28.4","13.9","26.05","38.4","12.2","28.559215927750408","8.747173456509303","-9.899999999999999","-18.9","0.0","0","1.0","6.123233995736766e-17","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2376.5","0.0","1.0"
"-0.35294117647058815","0.35294117647058826","-0.5294117647058825","-0.27586206896554294","0.0","7","7","2","14.7","22.9","29.8","26.7","33.4","25.479166666666668","38.4","12.2","28.563977832512315","9.029612113902584","1.6999999999999993","-13.7","0.0","0","0.9659258262890683","-0.25881904510252063","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2368.7999999999997","0.10000000000000142","-1.0"
"0.14705882352941183","-0.058823529411764705","0.4117647058823529","-0.24137931034484517","0.0","8","7","2","18.7","13.0","37.2","26.7","27.1","25.145833333333332","38.4","12.2","28.476477832512312","9.129692559548985","4.0","-8.0","0.0","0","0.8660254037844387","-0.4999999999999998","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2340.2999999999997","0.6999999999999993","-3.0"
"0.5588235294117656","-0.4117647058823529","0.5294117647058822","-0.13793103448275187","0.0","9","7","2","28.7","14.7","31.8","19.5","28.9","25.229166666666668","38.4","12.2","28.48600164203613","9.153591795225699","10.0","2.0","0.0","0","0.7071067811865476","-0.7071067811865475","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2292.3","1.6999999999999993","-7.0"
"0.8529411764705892","-0.7058823529411765","0.7254901960784312","-0.17241379310344962","0.5","10","7","2","30.2","18.7","22.9","21.6","26.4","25.675","38.4","12.2","28.49373973727422","9.122940506123063","1.5","10.7","0.5227586988632226","1","0.49999999999999994","-0.8660254037844387","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2226.8","1.4000000000000021","-6.0"
"1.1470588235294128","-0.8823529411764706","0.7450980392156865","-0.27586206896554294","1.0","11","7","2","30.4","28.7","13.0","21.5","20.0","26.041666666666668","38.4","12.2","28.517549261083744","9.128879957331149","0.1999999999999993","8.799999999999997","1.0","1","0.258819045102521","-0.9659258262890682","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2211.9","1.0","-5.0"
"1.3235294117647065","-0.9411764705882353","0.8235294117647058","-0.5172413793103489","1.0","12","7","2","22.4","30.2","14.7","12.2","15.2","26.079166666666666","38.4","12.2","28.53183497536946","9.11124384992267","-8.0","0.8999999999999986","1.0","1","1.2246467991473532e-16","-1.0","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2224.7999999999997","1.0","-3.0"
"1.2352941176470602","-1.0","1.5294117647058827","-0.7241379310344963","1.0","13","7","2","15.5","30.4","18.7","13.1","16.0","26.216666666666665","38.4","13.0","28.533620689655177","8.915480755486454","-6.899999999999999","3.3000000000000007","1.0","1","-0.2588190451025208","-0.9659258262890683","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2172.6","0.5999999999999979","-1.0"
"0.9705882352941183","-1.0","-0.411764705882353","-0.5862068965517444","25.499999999999996","14","7","2","17.0","22.4","28.7","15.6","13.5","26.379166666666663","38.4","13.0","28.539573070607556","8.698924429599565","1.5","3.9000000000000004","9.918129282007229","1","-0.4999999999999997","-0.8660254037844388","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2108.7","-0.29999999999999716","-1.0"
"0.29411764705882365","-0.29411764705882354","0.5882352941176471","-0.6896551724137985","32.99999999999999","15","7","2","27.8","15.5","30.2","14.6","12.4","26.887500000000003","38.4","13.0","28.6246921182266","8.392714879196022","10.8","12.200000000000001","11.124017822995759","1","-0.7071067811865471","-0.7071067811865479","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2274.2","-0.9000000000000021","0.0"
"0.14705882352941183","-0.058823529411764705","0.803921568627451","-0.6896551724137985","1.0","16","7","2","28.8","17.0","30.4","18.7","15.8","27.479166666666668","38.4","13.0","28.722311165845646","7.979156497136596","1.0","14.200000000000001","1.0","1","-0.8660254037844385","-0.5000000000000004","-0.4999999999999997","-0.8660254037844388","0.9749279121818236","-0.22252093395631434","2340.2999999999997","-2.3000000000000007","12.0"
